id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
5210,0.541 x Jupiter,Neptune-like,Transit,30.6 Earths,2016,0.8748 AU,287.4 days,0.0
5211,0.509 x Jupiter,Neptune-like,Transit,27.6 Earths,2016,0.0327 AU,3.3 days,0.0
5212,1.31 x Earth,Super Earth,Transit,2.27 Earths,2016,0.0518 AU,4.4 days,0.0
5213,1.47 x Earth,Super Earth,Transit,2.76 Earths,2016,0.0994 AU,10.8 days,0.0
5214,2.16 x Earth,Neptune-like,Transit,5.31 Earths,2016,0.4204 AU,92.3 days,0.0
5215,1.61 x Earth,Super Earth,Transit,3.22 Earths,2016,0.4322 AU,102 days,0.0
5216,0.76 x Earth,Terrestrial,Transit,0.363 Earths,2016,0.1611 AU,23.6 days,0.0
5217,1.26 x Earth,Super Earth,Transit,2.13 Earths,2016,0.0706 AU,6.1 days,0.0
5218,1.2 x Earth,Super Earth,Transit,1.87 Earths,2016,0.181 AU,27.5 days,0.0
5219,1.02 x Earth,Super Earth,Transit,1.04 Earths,2016,0.0761 AU,6.8 days,0.0
5220,2.06 x Earth,Super Earth,Transit,4.9 Earths,2016,0.2788 AU,47.3 days,0.0
5221,1.49 x Earth,Super Earth,Transit,2.83 Earths,2016,0.0471 AU,3.9 days,0.0
5222,2.08 x Earth,Super Earth,Transit,4.98 Earths,2016,0.0264 AU,1.5 days,0.0
5223,1.03 x Earth,Super Earth,Transit,1.08 Earths,2016,0.0482 AU,3.9 days,0.0
5224,0.81 x Earth,Terrestrial,Transit,0.457 Earths,2016,0.0586 AU,5.2 days,0.0
5225,1.61 x Earth,Super Earth,Transit,3.22 Earths,2016,0.0777 AU,8.7 days,0.0
5226,2.22 x Earth,Neptune-like,Transit,5.56 Earths,2016,0.4679 AU,114.3 days,0.0
5227,1.73 x Earth,Super Earth,Transit,3.64 Earths,2016,0.1126 AU,16.5 days,0.0
5228,0.92 x Earth,Terrestrial,Transit,0.721 Earths,2016,0.1075 AU,13.6 days,0.0
5229,2.07 x Earth,Super Earth,Transit,4.94 Earths,2016,0.6421 AU,196.4 days,0.0
5230,1.08 x Earth,Super Earth,Transit,1.28 Earths,2016,0.3912 AU,85.8 days,0.0
5231,1.41 x Earth,Super Earth,Transit,2.57 Earths,2016,0.0089 AU,0.7 days,0.0
5232,1.29 x Earth,Super Earth,Transit,2.21 Earths,2016,0.0351 AU,2.3 days,0.0
5233,1.34 x Earth,Super Earth,Transit,2.36 Earths,2016,0.1074 AU,11.2 days,0.0
5234,0.82 x Earth,Terrestrial,Transit,0.477 Earths,2016,0.0336 AU,2.2 days,0.0
5235,0.279 x Jupiter,Neptune-like,Transit,9.96 Earths,2016,0.9712 AU,386.4 days,0.0
5236,1.62 x Earth,Super Earth,Transit,3.26 Earths,2016,0.4823 AU,122.4 days,0.0
5237,2.12 x Earth,Neptune-like,Transit,5.14 Earths,2016,0.0695 AU,6.1 days,0.0
5238,0.269 x Jupiter,Neptune-like,Transit,9.32 Earths,2016,0.2901 AU,55.6 days,0.0
5239,1.14 x Earth,Super Earth,Transit,1.55 Earths,2016,0.0872 AU,9.7 days,0.0
5240,0.254 x Jupiter,Neptune-like,Transit,8.5 Earths,2016,0.1106 AU,14.1 days,0.0
5241,1.3 x Earth,Super Earth,Transit,2.24 Earths,2016,0.0662 AU,6.4 days,0.0
5242,0.272 x Jupiter,Neptune-like,Transit,9.53 Earths,2016,0.1256 AU,14.6 days,0.0
5243,0.217 x Jupiter,Neptune-like,Transit,6.48 Earths,2016,0.2548 AU,53.5 days,0.0
5244,0.258 x Jupiter,Neptune-like,Transit,8.7 Earths,2016,0.1019 AU,13.2 days,0.0
5245,1.47 x Earth,Super Earth,Transit,2.76 Earths,2016,0.0519 AU,5.7 days,0.0
5246,0.277 x Jupiter,Neptune-like,Transit,9.8 Earths,2016,0.1054 AU,17.3 days,0.0
5247,2.16 x Earth,Neptune-like,Transit,5.31 Earths,2016,0.0915 AU,9.9 days,0.0
5248,0.408 x Jupiter,Neptune-like,Transit,18.9 Earths,2016,0.0462 AU,3.6 days,0.0
5249,0.263 x Jupiter,Neptune-like,Transit,9.01 Earths,2016,0.0965 AU,11.5 days,0.0
5250,2.18 x Earth,Neptune-like,Transit,5.39 Earths,2016,0.0691 AU,9.5 days,0.0
5251,0.226 x Jupiter,Neptune-like,Transit,6.94 Earths,2016,0.0546 AU,5.2 days,0.0
5252,0.252 x Jupiter,Neptune-like,Transit,8.35 Earths,2016,0.4471 AU,105.1 days,0.0
5253,1.477 x Jupiter,Gas Giant,Transit,131 Jupiters,2016,0.0322 AU,2.1 days,0.0
5254,0.863 x Jupiter,Gas Giant,Transit,0.213 Jupiters,2016,0.0832 AU,8.1 days,0.0
5255,1.88 x Earth,Super Earth,Transit,4.19 Earths,2016,0.0524 AU,4.3 days,0.0
5256,0.271 x Jupiter,Neptune-like,Transit,9.48 Earths,2016,0.0798 AU,11.6 days,0.0
5257,0.24 x Jupiter,Neptune-like,Transit,7.7 Earths,2016,0.0503 AU,4.3 days,0.0
5258,0.422 x Jupiter,Neptune-like,Transit,20.1 Earths,2016,0.2288 AU,41.4 days,0.0
5259,2.18 x Earth,Neptune-like,Transit,5.39 Earths,2016,0.1408 AU,21.7 days,0.0
5260,0.314 x Jupiter,Neptune-like,Transit,12.2 Earths,2016,0.1654 AU,24.5 days,0.0
5261,0.205 x Jupiter,Neptune-like,Transit,5.9 Earths,2016,0.031 AU,2.6 days,0.0
5262,1.32 x Earth,Super Earth,Transit,2.3 Earths,2016,0.0219 AU,1.7 days,0.0
5263,0.204 x Jupiter,Neptune-like,Transit,5.86 Earths,2016,0.1232 AU,15.8 days,0.0
5264,0.299 x Jupiter,Neptune-like,Transit,11.2 Earths,2016,0.0682 AU,6.5 days,0.0
5265,2.09 x Earth,Super Earth,Transit,5.02 Earths,2016,0.1224 AU,15.3 days,0.0
5266,1.9 x Earth,Super Earth,Transit,4.27 Earths,2016,0.056 AU,5.4 days,0.0
5267,0.259 x Jupiter,Neptune-like,Transit,8.75 Earths,2016,0.1536 AU,23.7 days,0.0
5268,0.253 x Jupiter,Neptune-like,Transit,8.45 Earths,2016,0.1128 AU,15.7 days,0.0
5269,1.5 x Earth,Super Earth,Transit,2.86 Earths,2016,0.0438 AU,3.7 days,0.0
5270,0.211 x Jupiter,Neptune-like,Transit,6.21 Earths,2016,0.1056 AU,13 days,0.0
5271,0.309 x Jupiter,Neptune-like,Transit,11.8 Earths,2016,0.156 AU,21.3 days,0.0
5272,0.331 x Jupiter,Neptune-like,Transit,17.4 Earths,2016,0.1582 AU,25.3 days,0.0
5273,2.18 x Earth,Neptune-like,Transit,5.39 Earths,2016,0.1089 AU,13.6 days,0.0
5274,0.256 x Jupiter,Neptune-like,Transit,8.6 Earths,2016,0.1508 AU,21.2 days,0.0
5275,0.213 x Jupiter,Neptune-like,Transit,6.3 Earths,2016,0.0397 AU,2.8 days,0.0
5276,0.302 x Jupiter,Neptune-like,Transit,11.4 Earths,2016,0.3554 AU,81.2 days,0.0
5277,0.359 x Jupiter,Neptune-like,Transit,15.2 Earths,2016,0.0647 AU,5.9 days,0.0
5278,0.203 x Jupiter,Neptune-like,Transit,5.77 Earths,2016,0.1196 AU,16.5 days,0.0
5279,0.235 x Jupiter,Neptune-like,Transit,7.41 Earths,2016,0.052 AU,4.2 days,0.0
5280,2.23 x Earth,Neptune-like,Transit,5.6 Earths,2016,0.0952 AU,10.9 days,0.0
5281,0.249 x Jupiter,Neptune-like,Transit,8.2 Earths,2016,0.0331 AU,2.1 days,0.0
5282,0.252 x Jupiter,Neptune-like,Transit,8.4 Earths,2016,0.0375 AU,2.8 days,0.0
5283,0.376 x Jupiter,Neptune-like,Transit,16.5 Earths,2016,0.2281 AU,35.2 days,0.0
5284,0.203 x Jupiter,Neptune-like,Transit,5.82 Earths,2016,0.0689 AU,6.5 days,0.0
5285,1.45 x Earth,Super Earth,Transit,2.7 Earths,2016,0.2494 AU,51.2 days,0.0
5286,0.938 x Jupiter,Gas Giant,Transit,0.28411 Jupiters,2016,0.0449 AU,3.3 days,< 0.18
5287,1.74 x Jupiter,Gas Giant,Transit,1.31 Jupiters,2016,0.04613 AU,3.3 days,0.0
5288,1.743 x Jupiter,Gas Giant,Transit,1.284 Jupiters,2016,0.03005 AU,1.7 days,0.0
5289,1.63 x Jupiter,Gas Giant,Transit,0.63 Jupiters,2016,0.0562 AU,3.9 days,0.0
5290,1.854 x Jupiter,Gas Giant,Transit,0.894 Jupiters,2016,0.033 AU,1.8 days,0.0
5291,0.258 x Jupiter,Gas Giant,Transit,0.34925 Jupiters,2012,0.139 AU,18.6 days,0.0
5292,1.95 x Earth,Super Earth,Transit,4.46 Earths,2014,0.182 AU,36.4 days,0.0
