id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
193,TOI-871 b,68.0473,3.41 Earths,10.569,2024,https://science.nasa.gov/exoplanet-catalog/toi-871-b/
194,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1642l-b/
195,KMT-2023-BLG-1454L b,7220,0.63 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1454l-b/
196,KMT-2023-BLG-0416L b,5900,13.03096 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-0416l-b/
197,HIP 39017 b,66.3217,23.6 Jupiters,6.96076,2024,https://science.nasa.gov/exoplanet-catalog/hip-39017-b/
198,TOI-1467 b,37.4418,9 Earths,12.293,2024,https://science.nasa.gov/exoplanet-catalog/toi-1467-b/
199,TOI-771 b,25.2788,2.61 Earths,14.888,2024,https://science.nasa.gov/exoplanet-catalog/toi-771-b/
200,NGTS-30 b,238.377,0.96 Jupiters,12.537,2024,https://science.nasa.gov/exoplanet-catalog/ngts-30-b/
201,KOI-2513.01,1369.87,23 Jupiters,14.913,2023,https://science.nasa.gov/exoplanet-catalog/koi-2513-01/
202,TOI-2068 b,52.9328,3.97 Earths,13.007,2024,https://science.nasa.gov/exoplanet-catalog/toi-2068-b/
203,TOI-5799 b,27.8123,3.27 Earths,13.29,2024,https://science.nasa.gov/exoplanet-catalog/toi-5799-b/
204,KMT-2021-BLG-1150L b,3800,0.88 Jupiters,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2021-blg-1150l-b/
205,OGLE-2017-BLG-0640L b,6630,1.62 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-0640l-b/
206,OGLE-2017-BLG-1275L b,7690,5.9 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1275l-b/
207,OGLE-2017-BLG-1237L b,6030,3.8 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1237l-b/
208,HD 104067 c,20.3632,13.2 Earths,7.92,2024,https://science.nasa.gov/exoplanet-catalog/hd-104067-c/
209,M62H b,Unknown,2.47 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/m62h-b/
210,Luhman 16 b,Unknown,29.4 Jupiters,Unknown,2017,https://science.nasa.gov/exoplanet-catalog/luhman-16-b/
211,TOI-4438 b,30.0346,5.4 Earths,13.69,2024,https://science.nasa.gov/exoplanet-catalog/toi-4438-b/
212,OGLE-2016-BLG-1093L b,8120,0.71 Jupiters,Unknown,2022,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1093l-b/
213,NGC 2682 Sand 1429 b,852.793,1.8 Jupiters,12.704,2024,https://science.nasa.gov/exoplanet-catalog/ngc-2682-sand-1429-b/
214,CI Tauri c,157.998,3.6 Jupiters,13.642,2024,https://science.nasa.gov/exoplanet-catalog/ci-tauri-c/
215,HS Piscium b,37.6604,1.46 Jupiters,10.769,2024,https://science.nasa.gov/exoplanet-catalog/hs-piscium-b/
216,TOI-1994 b,515.603,22.1 Jupiters,10.514,2024,https://science.nasa.gov/exoplanet-catalog/toi-1994-b/
217,TOI-4515 b,193.499,2.005 Jupiters,11.938,2024,https://science.nasa.gov/exoplanet-catalog/toi-4515-b/
